ID,Year,Month,Day,Title,URL
3211798,1403,09,12,تکمیل 300 کیلومتر از دیوار مرزی شرق کشور تا پایان سال,https://www.tasnimnews.com/fa/news/1403/09/12/3211798/تکمیل-300-کیلومتر-از-دیوار-مرزی-شرق-کشور-تا-پایان-سال
3211643,1403,09,12,رزمایش ارتش علیه تروریستها در شمال شرق,https://www.tasnimnews.com/fa/news/1403/09/12/3211643/رزمایش-ارتش-علیه-تروریستها-در-شمال-شرق
3211474,1403,09,12,رضایی کشورهای اسلامی باید ارتشی واحد تشکیل داده و متحد شوند,https://www.tasnimnews.com/fa/news/1403/09/12/3211474/رضایی-کشورهای-اسلامی-باید-ارتشی-واحد-تشکیل-داده-و-متحد-شوند
3211165,1403,09,11,مراسم گرامیداشت سردار پورهاشمی برگزار شد,https://www.tasnimnews.com/fa/news/1403/09/11/3211165/مراسم-گرامیداشت-سردار-پورهاشمی-برگزار-شد
3210270,1403,09,10,فرمانده کل سپاه شهادت سردار پورهاشمی را تسلیت گفت,https://www.tasnimnews.com/fa/news/1403/09/10/3210270/فرمانده-کل-سپاه-شهادت-سردار-پورهاشمی-را-تسلیت-گفت
3210069,1403,09,10,سردار مسجدی امروز مقاومت خودش موشک و پهپاد تولید می کند,https://www.tasnimnews.com/fa/news/1403/09/10/3210069/سردار-مسجدی-امروز-مقاومت-خودش-موشک-و-پهپاد-تولید-می-کند
3209999,1403,09,10,مراسم تشییع پیکر سردار پورهاشمی برگزار شد,https://www.tasnimnews.com/fa/news/1403/09/10/3209999/مراسم-تشییع-پیکر-سردار-پورهاشمی-برگزار-شد
3209747,1403,09,09,بازدید هیئت نظامی روسیه از نیروی هوایی ارتش,https://www.tasnimnews.com/fa/news/1403/09/09/3209747/بازدید-هیئت-نظامی-روسیه-از-نیروی-هوایی-ارتش
3209731,1403,09,09,وداع با پیکر شهید پورهاشمی در معراج شهدا,https://www.tasnimnews.com/fa/news/1403/09/09/3209731/وداع-با-پیکر-شهید-پورهاشمی-در-معراج-شهدا
3209684,1403,09,09,دریادار ایرانی پشت سر ولایت و جبهه مقاومت می ایستیم,https://www.tasnimnews.com/fa/news/1403/09/09/3209684/دریادار-ایرانی-پشت-سر-ولایت-و-جبهه-مقاومت-می-ایستیم
3209604,1403,09,09,سردار نقدی ما بسیجی ها به دنبال طوفان الاقصی2 هستیم,https://www.tasnimnews.com/fa/news/1403/09/09/3209604/سردار-نقدی-ما-بسیجی-ها-به-دنبال-طوفان-الاقصی2-هستیم
3209399,1403,09,08,شهادت سردار کیومرث پورهاشمی در حلب سوریه,https://www.tasnimnews.com/fa/news/1403/09/08/3209399/شهادت-سردار-کیومرث-پورهاشمی-در-حلب-سوریه
3209139,1403,09,08,ویترین تسنیم شماره 800,https://www.tasnimnews.com/fa/news/1403/09/08/3209139/ویترین-تسنیم-شماره-800
3209088,1403,09,08,پیام تبریک سرلشکر سلامی به شیخ نعیم قاسم,https://www.tasnimnews.com/fa/news/1403/09/08/3209088/پیام-تبریک-سرلشکر-سلامی-به-شیخ-نعیم-قاسم
3208670,1403,09,07,امام خامنه ای هرگونه برخورد برای دشمن هزینه سنگین دارد,https://www.tasnimnews.com/fa/news/1403/09/07/3208670/امام-خامنه-ای-هرگونه-برخورد-برای-دشمن-هزینه-سنگین-دارد
3205681,1403,09,06,تجهیز ناو کردستان به موشک عمودپرتاب صیاد گفتگوبا امیر ایرانی,https://www.tasnimnews.com/fa/news/1403/09/06/3205681/تجهیز-ناو-کردستان-به-موشک-عمودپرتاب-صیاد-گفتگوبا-امیر-ایرانی
3207817,1403,09,06,باقری پاسخ به اسرائیل ورای تصورات سران رژیم طرح ریزی شده است,https://www.tasnimnews.com/fa/news/1403/09/06/3207817/باقری-پاسخ-به-اسرائیل-ورای-تصورات-سران-رژیم-طرح-ریزی-شده-است
3207518,1403,09,05,معاون رئیس جمهور با امیر سیاری دیدار کرد,https://www.tasnimnews.com/fa/news/1403/09/05/3207518/معاون-رئیس-جمهور-با-امیر-سیاری-دیدار-کرد
3207387,1403,09,05,امانی روز گذشته برای رژیم صهیونیستی بسیار دردناک بود,https://www.tasnimnews.com/fa/news/1403/09/05/3207387/امانی-روز-گذشته-برای-رژیم-صهیونیستی-بسیار-دردناک-بود
3207368,1403,09,05,سردار سلیمانی آمریکا پرچمدار سیاست استعماری در دنیا است,https://www.tasnimnews.com/fa/news/1403/09/05/3207368/سردار-سلیمانی-آمریکا-پرچمدار-سیاست-استعماری-در-دنیا-است
